Link,name,brand,image,price
https://www.macys.com/shop/product/bulova-mens-chronograph-marine-star-black-silicone-strap-watch-44mm-98b278?ID=2893520&CategoryID=239616,Men's Chronograph Marine Star Black Silicone Strap Watch 44mm 98B278,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/3717066_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$525.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-black-leather-strap-watch-42mm-created-for-macys?ID=5061709&CategoryID=239616,"Tommy Hilfiger Men's Black Leather Strap Watch 42mm, Created for Macy's",Tommy Hilfiger Denim,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/8877909_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-black-silicone-strap-watch-44mm?ID=9910872&CategoryID=239616,Men's Black Silicone Strap Watch 44mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/14615295_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-blue-silicone-strap-watch-45mm?ID=6381366&CategoryID=239616,Men's Blue Silicone Strap Watch 45mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/9766086_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/citizen-drive-from-citizen-eco-drive-mens-ltr-brown-leather-strap-watch-45mm?ID=7812247&CategoryID=239616,Drive From Citizen Eco-Drive Men's LTR Brown Leather Strap Watch 45mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/11547775_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$325.00 
https://www.macys.com/shop/product/applewatch-series3-gpscellular-42mm-silver-aluminum-case-with-white-sport-band?ID=7119021&CategoryID=239616,"Apple Watch Series 3 GPS + Cellular, 42mm Silver Aluminum Case with White Sport Band",Apple Watch Series 3,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/10482694_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$409.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-brown-leather-strap-watch-42mm-created-for-macys?ID=3676311&CategoryID=239616,Men's Brown Leather Strap Watch 42mm Created for Macy's,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/8105655_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/disney-by-citizen-eco-drive-womens-mickey-mouse-diamond-accent-rose-gold-tone-bracelet-watch-29.5mm?ID=8456406&CategoryID=239616,Eco-Drive Women's Mickey Mouse Diamond-Accent Rose Gold-Tone Bracelet Watch 29.5mm,Disney by Citizen,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/11925000_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$475.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-black-leather-strap-watch-44mm?ID=9910870&CategoryID=239616,Men's Black Leather Strap Watch 44mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/14020229_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/citizen-drive-from-citizen-eco-drive-mens-brown-leather-strap-watch-42mm-bm6983-00h?ID=2998708&CategoryID=239616,Drive from Citizen Eco-Drive Men's Brown Leather Strap Watch 42mm BM6983-00H,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/3887140_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$225.00 
